player_name,slug,team,profile_id,headshot_id,image_filename,image_url,status
Aaron Hardie,aaron-hardie,,22076,2704,,https://documents.iplt20.com/ipl/IPLHeadshot2025/2704.png,linked
Aaron Hardy,aaron-hardie,,22076,2704,,https://documents.iplt20.com/ipl/IPLHeadshot2025/2704.png,alias
ABD,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/AB_de_villiers_%28cropped%29.jpg/330px-AB_de_villiers_%28cropped%29.jpg,manual
Abdul Samad,abdul-samad,lucknow-super-giants,19352,525,abdul-samad_525.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/525.png,downloaded
Abhinandan Singh,abhinandan-singh,royal-challengers-bengaluru,22136,3574,abhinandan-singh_3574.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/3574.png,downloaded
Abhinav Manohar,abhinav-manohar,,20589,974,,https://documents.iplt20.com/ipl/IPLHeadshot2025/974.png,linked
Abhishek Porel,abishek-porel,delhi-capitals,33333,1580,abishek-porel_1580.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/1580.png,alias
Abhishek Sharma,abhishek-sharma,sunrisers-hyderabad,3760,212,abhishek-sharma_212.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/212.png,downloaded
Abishek Porel,abishek-porel,delhi-capitals,33333,1580,abishek-porel_1580.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/1580.png,downloaded
Adam Milne,adam-milne,rajasthan-royals,434,157,adam-milne_157.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/157.png,downloaded
Adam Zampa,adam-zampa,,958,24,,https://documents.iplt20.com/ipl/IPLHeadshot2025/24.png,linked
Aiden Markram,aiden-markram,lucknow-super-giants,1667,287,aiden-markram_287.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/287.png,downloaded
Ajay Mandal,ajay-mandal,delhi-capitals,5811,1931,ajay-mandal_1931.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/1931.png,downloaded
Ajinkya Rahane,ajinkya-rahane,kolkata-knight-riders,135,44,ajinkya-rahane_44.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/44.png,downloaded
Akash Deep,akash-deep,,14800,,,https://documents.iplt20.com/ipl/IPLHeadshot2026/Default-Men.png,linked
Akash Madhwal,akash-madhwal,,20681,1045,,https://documents.iplt20.com/ipl/IPLHeadshot2025/1045.png,linked
Akash Mandwal,akash-madhwal,,20681,1045,,https://documents.iplt20.com/ipl/IPLHeadshot2025/1045.png,alias
Akash Singh,akash-singh,lucknow-super-giants,12585,535,akash-singh_535.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/535.png,downloaded
Akeal Hosein,akeal-hosein,chennai-super-kings,5608,722,akeal-hosein_722.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/722.png,downloaded
Akshat Raghuwanshi,akshat-raghuwanshi,lucknow-super-giants,23035,1487,akshat-raghuwanshi_1487.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/1487.png,downloaded
Albie Morkel,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Albie_Morkel_2.jpg/330px-Albie_Morkel_2.jpg,manual
Allah Ghazanfar,allah-ghazanfar,mumbai-indians,20725,2761,allah-ghazanfar_2761.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/2761.png,downloaded
Alzari Joseph,,,,,,https://documents.iplt20.com/ipl/IPLHeadshot2026/Default-Men.png,manual
Aman Khan,aman-khan,chennai-super-kings,20581,979,aman-khan_979.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/979.png,downloaded
Aman Rao Perala,aman-rao-perala,rajasthan-royals,23034,4552,aman-rao-perala_4552.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/4552.png,downloaded
Amit Kumar,amit-kumar,sunrisers-hyderabad,23087,4559,amit-kumar_4559.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/4559.png,downloaded
Andre Russel,andre-russell,,177,141,,https://documents.iplt20.com/ipl/IPLHeadshot2025/141.png,alias
Andre Russell,andre-russell,,177,141,,https://documents.iplt20.com/ipl/IPLHeadshot2025/141.png,linked
Andre Siddarth,andre-siddarth,,22022,3157,,https://documents.iplt20.com/ipl/IPLHeadshot2025/3157.png,linked
Angelo Mattews,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/Angelo_Mathews_%285338334462%29.jpg/330px-Angelo_Mathews_%285338334462%29.jpg,manual
Angkrish Raghuvanshi,angkrish-raghuvanshi,kolkata-knight-riders,20690,787,angkrish-raghuvanshi_787.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/787.png,downloaded
Aniket Verma,aniket-verma,sunrisers-hyderabad,22082,3576,aniket-verma_3576.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/3576.png,downloaded
Anrich Nortje,anrich-nortje,lucknow-super-giants,5433,142,anrich-nortje_142.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/142.png,downloaded
Anshul Kamboj,anshul-kamboj,chennai-super-kings,20702,3106,anshul-kamboj_3106.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/3106.png,downloaded
Anuj Rawat,anuj-rawat,gujarat-titans,10788,534,anuj-rawat_534.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/534.png,downloaded
Anukul Roy,anukul-roy,kolkata-knight-riders,3774,160,anukul-roy_160.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/160.png,downloaded
Arjun Tendulkar,arjun-tendulkar,lucknow-super-giants,10244,585,arjun-tendulkar_585.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/585.png,downloaded
Arshad Khan,mohd-arshad-khan,gujarat-titans,20599,988,mohd-arshad-khan_988.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/988.png,alias
Arshdeep Singh,arshdeep-singh,punjab-kings,4698,125,arshdeep-singh_125.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/125.png,downloaded
Arshin Kulkarni,arshin-kulkarni,lucknow-super-giants,20691,2788,arshin-kulkarni_2788.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/2788.png,downloaded
Aryan Juyal,aryan-juyal,,20596,990,,https://documents.iplt20.com/ipl/IPLHeadshot2025/990.png,linked
Ashok Sharma,ashok-sharma,gujarat-titans,20584,980,ashok-sharma_980.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/980.png,downloaded
Ashutosh Sharma,ashutosh-sharma,delhi-capitals,20703,3109,ashutosh-sharma_3109.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/3109.png,downloaded
Ashwani Kumar,ashwani-kumar,mumbai-indians,22030,3569,ashwani-kumar_3569.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/3569.png,downloaded
Atharva Ankolekar,atharva-ankolekar,mumbai-indians,23108,4544,atharva-ankolekar_4544.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/4544.png,downloaded
Atharva Taide,atharva-taide,,20603,1001,,https://documents.iplt20.com/ipl/IPLHeadshot2025/1001.png,linked
Auqib Nabi,auqib-nabi,delhi-capitals,23005,4543,auqib-nabi_4543.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/4543.png,downloaded
Avesh Khan,avesh-khan,lucknow-super-giants,1561,109,avesh-khan_109.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/109.png,downloaded
Axar Patel,axar-patel,delhi-capitals,1113,110,axar-patel_110.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/110.png,downloaded
Ayush Badoni,ayush-badoni,lucknow-super-giants,20586,985,ayush-badoni_985.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/985.png,downloaded
Ayush Mhatre,ayush-mhatre,chennai-super-kings,22377,3497,ayush-mhatre_3497.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/3497.png,downloaded
Azmatulah Umarzai,azmatullah-omarzai,punjab-kings,20685,1354,azmatullah-omarzai_1354.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/1354.png,alias
Azmatullah Omarzai,azmatullah-omarzai,punjab-kings,20685,1354,azmatullah-omarzai_1354.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/1354.png,downloaded
Ben Duckett,ben-duckett,delhi-capitals,23001,110,ben-duckett_110.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/110.png,downloaded
Ben Dwarshuis,ben-dwarshuis,punjab-kings,1478,632,ben-dwarshuis_632.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/632.png,downloaded
Ben stokes,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/3_14_Captain_Ben_%28cropped%29.jpg/330px-3_14_Captain_Ben_%28cropped%29.jpg,manual
Bevon Jacobs,bevon-jacobs,,22174,3567,,https://documents.iplt20.com/ipl/IPLHeadshot2025/3567.png,linked
Bhuvneshwar Kumar,bhuvneshwar-kumar,royal-challengers-bengaluru,116,15,bhuvneshwar-kumar_15.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/15.png,downloaded
Blessing Muzarabani,blessing-muzarabani,kolkata-knight-riders,22387,827,blessing-muzarabani_827.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/827.png,downloaded
Brendon Mcclluum,,,,,,https://upload.wikimedia.org/wikipedia/commons/d/d1/Brendon_McCullum_ONZM_%28cropped%29.jpg,manual
Brijesh Sharma,brijesh-sharma,rajasthan-royals,23164,4551,brijesh-sharma_4551.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/4551.png,downloaded
Brydon Carse,brydon-carse,sunrisers-hyderabad,22075,1221,brydon-carse_1221.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/1221.png,downloaded
Cameron Green,cameron-green,kolkata-knight-riders,5602,550,cameron-green_550.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/550.png,downloaded
Charith Asalanka,charith-asalanka,,22388,605,,https://documents.iplt20.com/ipl/IPLHeadshot2025/605.png,linked
Chetan Sakariya,chetan-sakariya,,11062,592,,https://documents.iplt20.com/ipl/IPLHeadshot2025/592.png,linked
Chris Gayle,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/Two_views_of_Chris_Gayle_%2848020785077%29.jpg/330px-Two_views_of_Chris_Gayle_%2848020785077%29.jpg,manual
Chris Lynn,,,,,,https://upload.wikimedia.org/wikipedia/commons/e/ef/Brisbane_Heat_vs_Melbourne_Stars_T20_7_%28cropped%29.jpg,manual
Chris Morris,,,,,,https://documents.iplt20.com/ipl/IPLHeadshot2026/Default-Men.png,manual
Cooper Connolly,cooper-connolly,punjab-kings,23052,848,cooper-connolly_848.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/848.png,downloaded
Corbin Bosch,corbin-bosch,mumbai-indians,20680,1041,corbin-bosch_1041.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/1041.png,downloaded
Corey Anderson,,,,,,https://documents.iplt20.com/ipl/IPLHeadshot2026/Default-Men.png,manual
Daksh Kamra,daksh-kamra,kolkata-knight-riders,23177,4548,daksh-kamra_4548.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/4548.png,downloaded
Danish Malewar,danish-malewar,mumbai-indians,23031,4546,danish-malewar_4546.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/4546.png,downloaded
Darren Sammy,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3d/DARREN_SAMMY.jpg/330px-DARREN_SAMMY.jpg,manual
Darshan Nalkande,darshan-nalkande,,4447,127,,https://documents.iplt20.com/ipl/IPLHeadshot2025/127.png,linked
Dasun Shanaka,dasun-shanaka,rajasthan-royals,1095,375,dasun-shanaka_375.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/375.png,downloaded
David Miller,david-miller,delhi-capitals,187,128,david-miller_128.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/128.png,downloaded
David Payne,david-payne,sunrisers-hyderabad,33335,5007,david-payne_5007.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/5007.png,downloaded
Deepak Chahar,deepak-chahar,mumbai-indians,140,91,deepak-chahar_91.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/91.png,downloaded
Deepak Hooda,deepak-hooda,,1556,215,,https://documents.iplt20.com/ipl/IPLHeadshot2025/215.png,linked
Devdutt Padikall,devdutt-padikkal,royal-challengers-bengaluru,5430,200,devdutt-padikkal_200.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/200.png,alias
Devdutt Padikkal,devdutt-padikkal,royal-challengers-bengaluru,5430,200,devdutt-padikkal_200.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/200.png,downloaded
Devon Convoy,devon-conway,,20572,601,,https://documents.iplt20.com/ipl/IPLHeadshot2025/601.png,alias
Devon Conway,devon-conway,,20572,601,,https://documents.iplt20.com/ipl/IPLHeadshot2025/601.png,linked
Dewald Brevis,dewald-brevis,chennai-super-kings,20593,797,dewald-brevis_797.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/797.png,downloaded
Dhruv Jurel,dhruv-jurel,rajasthan-royals,20620,1004,dhruv-jurel_1004.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/1004.png,downloaded
Digvesh Singh,digvesh-singh,lucknow-super-giants,5847,3565,digvesh-singh_3565.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/3565.png,downloaded
Donovan Ferreira,donovan-ferreira,rajasthan-royals,5652,2033,donovan-ferreira_2033.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/2033.png,downloaded
Dushmantha Chameera,dushmantha-chameera,delhi-capitals,817,608,dushmantha-chameera_608.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/608.png,downloaded
Dwayne Smith,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f0/DWAYNE_SMITH.jpg/330px-DWAYNE_SMITH.jpg,manual
Eoin Morgan,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Eoin_Morgan_2.jpg/330px-Eoin_Morgan_2.jpg,manual
Eshan Malinga,eshan-malinga,sunrisers-hyderabad,22228,3339,eshan-malinga_3339.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/3339.png,downloaded
Faf Du Plessis,faf-du-plessis,,24,94,,https://documents.iplt20.com/ipl/IPLHeadshot2025/94.png,linked
Fazalhaq Farooqi,fazalhaq-farooqi,,20610,1011,,https://documents.iplt20.com/ipl/IPLHeadshot2025/1011.png,linked
Finn Allen,finn-allen,kolkata-knight-riders,3020,595,finn-allen_595.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/595.png,downloaded
George Bailey,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/GEORGE_BAILEY_%2811704709453%29.jpg/330px-GEORGE_BAILEY_%2811704709453%29.jpg,manual
George Linde,george-linde,lucknow-super-giants,33336,340,george-linde_340.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/340.png,downloaded
Gerald Coetzee,gerald-coetzee,,20686,2535,,https://documents.iplt20.com/ipl/IPLHeadshot2025/2535.png,linked
Glenn Maxwell,glenn-maxwell,,282,28,,https://documents.iplt20.com/ipl/IPLHeadshot2025/28.png,linked
Glenn Phillip,glenn-phillips,gujarat-titans,3027,635,glenn-phillips_635.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/635.png,alias
Glenn Phillips,glenn-phillips,gujarat-titans,3027,635,glenn-phillips_635.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/635.png,downloaded
Gurjapneet Singh,gurjapneet-singh,chennai-super-kings,22032,2256,gurjapneet-singh_2256.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/2256.png,downloaded
Gurnoor Brar,gurnoor-singh-brar,gujarat-titans,1094,1231,gurnoor-singh-brar_1231.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/1231.png,alias
Gurnoor Singh Brar,gurnoor-singh-brar,gujarat-titans,1094,1231,gurnoor-singh-brar_1231.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/1231.png,downloaded
Harbhajan Singh,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Shri_Harbhajan_Singh_2015.jpg/330px-Shri_Harbhajan_Singh_2015.jpg,manual
Hardik Pandya,hardik-pandya,mumbai-indians,2740,54,hardik-pandya_54.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/54.png,downloaded
Harnoor Pannu,harnoor-pannu,punjab-kings,22019,784,harnoor-pannu_784.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/784.png,downloaded
Harpreet Brar,harpreet-brar,punjab-kings,5441,130,harpreet-brar_130.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/130.png,downloaded
Harry Brook,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/6/63/Harry_Brook_County_cricket_cropped.jpg/330px-Harry_Brook_County_cricket_cropped.jpg,manual
Harsh Dubey,harsh-dubey,sunrisers-hyderabad,22381,1494,harsh-dubey_1494.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/1494.png,downloaded
Harshal Patel,harshal-patel,sunrisers-hyderabad,157,114,harshal-patel_114.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/114.png,downloaded
Harshit Rana,harshit-rana,,20626,,,https://documents.iplt20.com/ipl/IPLHeadshot2026/Default-Men.png,linked
Heinrich Klaasen,heinrich-klaasen,sunrisers-hyderabad,3869,202,heinrich-klaasen_202.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/202.png,downloaded
Henrick Klassen,heinrich-klaasen,sunrisers-hyderabad,3869,202,heinrich-klaasen_202.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/202.png,alias
Himmat Singh,himmat-singh,lucknow-super-giants,5434,203,himmat-singh_203.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/203.png,downloaded
Imran Tahir,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/Imran_Tahir.jpg/330px-Imran_Tahir.jpg,manual
Ishan Kishan,ishan-kishan,sunrisers-hyderabad,2975,164,ishan-kishan_164.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/164.png,downloaded
Ishant Sharma,ishant-sharma,gujarat-titans,38,50,ishant-sharma_50.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/50.png,downloaded
Jack Fraser McGurk,,,,,,https://upload.wikimedia.org/wikipedia/commons/8/89/Jake_Fraser_McGurk_2024_clip.png,manual
Jacob Bethell,jacob-bethell,royal-challengers-bengaluru,22074,869,jacob-bethell_869.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/869.png,downloaded
Jacob Duffy,jacob-duffy,royal-challengers-bengaluru,23003,1701,jacob-duffy_1701.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/1701.png,downloaded
James Faulkner,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/JAMES_FAULKNER_%2811704434875%29_%28cropped%29.jpg/330px-JAMES_FAULKNER_%2811704434875%29_%28cropped%29.jpg,manual
Jamie Overton,jamie-overton,chennai-super-kings,22109,1216,jamie-overton_1216.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/1216.png,downloaded
Jason Holder,jason-holder,gujarat-titans,1075,263,jason-holder_263.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/263.png,downloaded
Jasprit Bumrah,jasprit-bumrah,mumbai-indians,1124,9,jasprit-bumrah_9.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/9.png,downloaded
Jayant Yadav,jayant-yadav,gujarat-titans,1740,165,jayant-yadav_165.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/165.png,downloaded
Jaydev Unadkat,jaydev-unadkat,sunrisers-hyderabad,86,180,jaydev-unadkat_180.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/180.png,downloaded
Jitesh Sharma,jitesh-sharma,royal-challengers-bengaluru,3185,1000,jitesh-sharma_1000.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/1000.png,downloaded
Jofra Archer,jofra-archer,rajasthan-royals,3502,181,jofra-archer_181.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/181.png,downloaded
Jonny Bairstow,jonny-bairstow,,506,216,,https://documents.iplt20.com/ipl/IPLHeadshot2025/216.png,linked
Jordan Cox,jordan-cox,royal-challengers-bengaluru,23023,3372,jordan-cox_3372.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/3372.png,downloaded
Jos Buttler,jos-buttler,gujarat-titans,509,182,jos-buttler_182.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/182.png,downloaded
Josh Butler,jos-buttler,gujarat-titans,509,182,jos-buttler_182.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/182.png,alias
Josh Hazelwood,josh-hazlewood,royal-challengers-bengaluru,857,36,josh-hazlewood_36.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/36.png,alias
Josh Hazlewood,josh-hazlewood,royal-challengers-bengaluru,857,36,josh-hazlewood_36.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/36.png,downloaded
Josh Inglis,josh-inglis,lucknow-super-giants,22372,647,josh-inglis_647.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/647.png,downloaded
Jp duminy,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/0/08/JP_DUMINY_%2815681049126%29.jpg/330px-JP_DUMINY_%2815681049126%29.jpg,manual
Kagiso Rabada,kagiso-rabada,gujarat-titans,1664,116,kagiso-rabada_116.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/116.png,downloaded
Kamindu Mendis,kamindu-mendis,sunrisers-hyderabad,22077,627,kamindu-mendis_627.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/627.png,downloaded
Kamlesh Nagarkoti,kamlesh-nagarkoti,,3766,146,,https://documents.iplt20.com/ipl/IPLHeadshot2025/146.png,linked
Kane Williamson,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/Kane_Williamson_in_2019.jpg/330px-Kane_Williamson_in_2019.jpg,manual
Kanishk Chouhan,kanishk-chouhan,royal-challengers-bengaluru,23168,4016,kanishk-chouhan_4016.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/4016.png,downloaded
Karim Janat,karim-janat,,22139,247,,https://documents.iplt20.com/ipl/IPLHeadshot2025/247.png,linked
Karn Sharma,karn-sharma,,1118,98,,https://documents.iplt20.com/ipl/IPLHeadshot2025/98.png,linked
Kartik Sharma,kartik-sharma,chennai-super-kings,23012,4540,kartik-sharma_4540.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/4540.png,downloaded
Kartik Tyagi,kartik-tyagi,kolkata-knight-riders,10059,536,kartik-tyagi_536.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/536.png,downloaded
Karun Nair,karun-nair,delhi-capitals,276,131,karun-nair_131.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/131.png,downloaded
Kedar Jadhav,,,,,,https://documents.iplt20.com/ipl/IPLHeadshot2026/Default-Men.png,manual
Khaleel Ahmed,khaleel-ahmed,chennai-super-kings,2964,8,khaleel-ahmed_8.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/8.png,downloaded
Kl Rahul,kl-rahul,delhi-capitals,1125,19,kl-rahul_19.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/19.png,downloaded
Krains Fuletra,krains-fuletra,sunrisers-hyderabad,23132,4557,krains-fuletra_4557.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/4557.png,downloaded
Krunal Pandya,krunal-pandya,royal-challengers-bengaluru,3183,17,krunal-pandya_17.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/17.png,downloaded
Kuldeep Sen,kuldeep-sen,rajasthan-royals,20616,1005,kuldeep-sen_1005.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/1005.png,downloaded
Kuldeep Yadav,kuldeep-yadav,delhi-capitals,261,14,kuldeep-yadav_14.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/14.png,downloaded
Kulwant Khejroliya,kulwant-khejroliya,gujarat-titans,3835,204,kulwant-khejroliya_204.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/204.png,downloaded
Kumar Kartikeya Singh,kumar-kartikeya-singh,,20629,1015,,https://documents.iplt20.com/ipl/IPLHeadshot2025/1015.png,linked
Kumar Kushagra,kumar-kushagra,gujarat-titans,20694,3101,kumar-kushagra_3101.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/3101.png,downloaded
Kunal Rathore,kunal-rathore,,5763,1540,,https://documents.iplt20.com/ipl/IPLHeadshot2025/1540.png,linked
Kusal Mendis,kusal-mendis,,22384,276,,https://documents.iplt20.com/ipl/IPLHeadshot2025/276.png,linked
Kwena Maphaka,kwena-maphaka,rajasthan-royals,20724,801,kwena-maphaka_801.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/801.png,downloaded
Kyle Jamieson,kyle-jamieson,delhi-capitals,1616,382,kyle-jamieson_382.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/382.png,downloaded
Lhuan Dre Pretorius,lhuan-dre-pretorius,,22383,2827,lhuan-dre-pretorious_2827.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/2827.png,downloaded
Lhuan-dre Pretorious,lhuan-dre-pretorious,rajasthan-royals,22383,2827,lhuan-dre-pretorious_2827.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/2827.png,downloaded
Liam Linvingstone,liam-livingstone,sunrisers-hyderabad,3644,183,liam-livingstone_183.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/183.png,alias
Liam Livingstone,liam-livingstone,sunrisers-hyderabad,3644,183,liam-livingstone_183.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/183.png,downloaded
Lindl Simmons,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Lendl_Simmons.jpg/330px-Lendl_Simmons.jpg,manual
Lizaad Williams,lizaad-williams,,20727,631,,https://documents.iplt20.com/ipl/IPLHeadshot2024/631.png,linked
Lockie Ferguson,lockie-ferguson,punjab-kings,3729,69,lockie-ferguson_69.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/69.png,downloaded
Loki Ferguson,lockie-ferguson,punjab-kings,3729,69,lockie-ferguson_69.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/69.png,alias
Luke Wood,luke-wood,gujarat-titans,20721,3116,luke-wood_3116.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/3116.png,downloaded
Lungisani Ngidi,lungisani-ngidi,delhi-capitals,3746,99,lungisani-ngidi_99.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/99.png,downloaded
Luvnith Sisodia,luvnith-sisodia,,20613,1009,,https://documents.iplt20.com/ipl/IPLHeadshot2025/1009.png,linked
M Siddharth,m-siddharth,lucknow-super-giants,7119,532,m-siddharth_532.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/532.png,downloaded
Madhav Tiwari,madhav-tiwari,delhi-capitals,22259,3561,madhav-tiwari_3561.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/3561.png,downloaded
Maheesh Theekshana,maheesh-theekshana,,20570,629,,https://documents.iplt20.com/ipl/IPLHeadshot2025/629.png,linked
Mahipal Lomror,mahipal-lomror,,2970,184,,https://documents.iplt20.com/ipl/IPLHeadshot2025/184.png,linked
Mahisha Tikshana,maheesh-theekshana,,20570,629,,https://documents.iplt20.com/ipl/IPLHeadshot2025/629.png,alias
Manan Vohra,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/MananVohra_Magic_book_of_record.jpg/330px-MananVohra_Magic_book_of_record.jpg,manual
Manav Suthar,manav-suthar,gujarat-titans,20692,2443,manav-suthar_2443.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/2443.png,downloaded
Mangesh Yadav,mangesh-yadav,royal-challengers-bengaluru,23040,4554,mangesh-yadav_4554.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/4554.png,downloaded
